,showing_time
58:2a:f7:31:5b:c8,46
34:80:b3:7e:5e:15,187
34:36:3b:b7:00:6b,188
24:4b:81:64:37:0c,196
68:96:7b:e6:c5:c8,38
8c:be:be:98:37:d7,68
14:f6:5a:ac:df:90,149
38:bc:1a:de:be:37,35
ac:36:13:89:4b:be,18
fc:e9:98:f0:c7:05,47
5c:95:ae:82:b1:b1,144
58:1f:28:09:b2:7d,62
88:c6:63:f4:54:61,124
3c:91:57:c4:be:31,179
90:72:40:e2:19:31,24
a0:86:c6:fe:da:51,14
34:23:ba:98:97:8b,32
14:f6:5a:cf:c0:c1,83
b8:b4:2e:f8:70:33,157
18:dc:56:b2:7e:34,31
d4:97:0b:6a:25:fc,344
20:08:ed:46:8c:2d,8
38:bc:1a:c7:1b:d1,41
40:0e:85:00:f5:9d,39
58:2a:f7:6d:df:34,182
64:a3:cb:52:3f:cc,192
24:09:95:1f:20:41,21
64:09:80:e4:53:25,83
34:80:b3:1f:ce:9b,44
dc:9b:9c:af:aa:96,71
f4:29:81:39:aa:3a,20
58:1f:28:1a:2a:bb,10
14:b9:68:7a:f9:00,44
c4:07:2f:10:34:c1,128
60:e7:01:1e:5b:f7,35
18:dc:56:cc:1f:4f,32
2c:28:2d:23:11:eb,9
a4:3d:78:ba:43:5c,22
a0:86:c6:fa:f4:3c,15
7c:1d:d9:98:f7:b6,39
74:51:ba:28:32:8f,15
48:6b:2c:a6:f2:99,85
10:f6:81:51:82:24,79
3c:e0:72:9e:13:95,61
18:dc:56:cd:ad:b3,18
9c:fc:01:94:3a:25,39
f8:a4:5f:eb:8a:1d,60
18:59:36:84:fa:88,24
a8:66:7f:f2:c4:d1,33
00:1f:a0:c3:db:a8,3
9c:c1:72:a6:e8:38,16
70:72:0d:9c:a7:64,33
70:72:0d:a2:47:4a,58
0c:77:1a:03:c6:39,25
d0:22:be:38:45:5e,21
18:9e:fc:83:18:e7,31
34:e2:fd:23:ac:70,65
d8:1d:72:76:a9:85,27
98:e7:9a:0f:9a:da,15
e8:8d:28:de:76:9e,31
80:22:75:3f:2d:20,60
70:11:24:98:ba:fa,39
54:ea:a8:55:53:45,9
74:51:ba:5e:c9:b9,14
9c:99:a0:48:18:3e,34
74:51:ba:58:69:db,21
ac:f7:f3:aa:ff:e4,58
8c:be:be:70:c3:4e,32
78:f7:be:80:12:e9,48
a0:93:47:30:31:73,19
f8:a4:5f:76:8b:ed,8
98:fa:e3:c0:0c:ab,122
68:df:dd:9e:c7:62,43
5c:8d:4e:33:68:d3,55
ac:38:70:44:03:18,7
d4:97:0b:bd:81:21,30
18:9e:fc:c4:5d:01,53
8c:0e:e3:d0:e0:cc,90
cc:89:fd:55:94:68,107
80:ea:96:83:78:a0,20
a8:8e:24:62:49:79,17
18:34:51:83:de:70,16
98:fa:e3:4c:6a:2b,66
f4:29:81:59:a2:44,40
2c:8a:72:4d:f6:e2,9
7c:1d:d9:5f:c3:d9,68
